J4DA175XG9825;pruebajorgejorge;Integra;1986;rojo;A
JH4DA175XG9825;Porsche;911;2011;gris;C
JH4DA175XG9825;Acura;Legend;1987;negro;S
JH4DA175XG9825;Aston Martin;DB7;2001;negro;A
JH4DA175XG9825;Toyota;Camry;2000;blanco;V
JH4DA175XG9825;BMW;3 Series;1999;azul;M
JH4DA175XG9825;Ford;F 150;2004;gris;S
JH4DA175XG9825;Freightliner;Conventional;2000;blanco;C
JH4DA175XG9825;Infiniti;G37 Sedan;2009;gris;A
JH4DA175XG9825;Volkswagen;Jetta;2002;rojo;C
JH4DA175XG9825;Acura;Vigor;1994;verde;V
JH4DA175XG9825;Subaru;Impreza;2011;azul;M
JH4DA175XG9825;Acura;Legend;1990;prata;A
JH4DA175XG9825;Chevrolet;C6500;1981;blanco;C
JH4DA175XG9825;Acura;Integra;1989;bordo;S
JH4DA175XG9825;Ford;Freestyle;2005;violet;V
JH4DA175XG9825;Subaru;Legacy;1996;brown;A
JH4DA175XG9825;Mercedes Benz;E;2013;red;A
JH4DA175XG9825;Chevrolet;Impala;2000;green;C
